guid/image/axis,value
047b864f-0753-448b-9483-f990ae41abaf/0042/y,-2.4671772
047b864f-0753-448b-9483-f990ae41abaf/0042/z,38.409725
047b864f-0753-448b-9483-f990ae41abaf/0043/x,-22.581474
047b864f-0753-448b-9483-f990ae41abaf/0043/y,-2.5192122
047b864f-0753-448b-9483-f990ae41abaf/0043/z,33.92494
047b864f-0753-448b-9483-f990ae41abaf/0044/x,-4.135567
047b864f-0753-448b-9483-f990ae41abaf/0044/y,-2.819989
047b864f-0753-448b-9483-f990ae41abaf/0044/z,40.57461
047b864f-0753-448b-9483-f990ae41abaf/0045/x,-2.3556693
047b864f-0753-448b-9483-f990ae41abaf/0045/y,-2.8869405
047b864f-0753-448b-9483-f990ae41abaf/0045/z,41.30018
047b864f-0753-448b-9483-f990ae41abaf/0046/x,-0.14031057
047b864f-0753-448b-9483-f990ae41abaf/0046/y,-2.955673
047b864f-0753-448b-9483-f990ae41abaf/0046/z,42.92691
047b864f-0753-448b-9483-f990ae41abaf/0047/x,-30.254263
047b864f-0753-448b-9483-f990ae41abaf/0047/y,-4.7140813
047b864f-0753-448b-9483-f990ae41abaf/0047/z,36.39915
047b864f-0753-448b-9483-f990ae41abaf/0048/x,-18.772703
047b864f-0753-448b-9483-f990ae41abaf/0048/y,-2.4287233
047b864f-0753-448b-9483-f990ae41abaf/0048/z,32.571663
047b864f-0753-448b-9483-f990ae41abaf/0049/x,-29.129442
047b864f-0753-448b-9483-f990ae41abaf/0049/y,-5.062251
047b864f-0753-448b-9483-f990ae41abaf/0049/z,46.850998
047b864f-0753-448b-9483-f990ae41abaf/0050/x,-11.712844
047b864f-0753-448b-9483-f990ae41abaf/0050/y,-2.1276188
047b864f-0753-448b-9483-f990ae41abaf/0050/z,24.254421
047b864f-0753-448b-9483-f990ae41abaf/0051/x,-6.742219
047b864f-0753-448b-9483-f990ae41abaf/0051/y,-2.526983
047b864f-0753-448b-9483-f990ae41abaf/0051/z,47.753407
047b864f-0753-448b-9483-f990ae41abaf/0052/x,-4.76857
047b864f-0753-448b-9483-f990ae41abaf/0052/y,-1.2919364
047b864f-0753-448b-9483-f990ae41abaf/0052/z,24.972385
047b864f-0753-448b-9483-f990ae41abaf/0053/x,38.642635
047b864f-0753-448b-9483-f990ae41abaf/0053/y,-13.969792
047b864f-0753-448b-9483-f990ae41abaf/0053/z,93.589294
047b864f-0753-448b-9483-f990ae41abaf/0054/x,39.79296
047b864f-0753-448b-9483-f990ae41abaf/0054/y,-21.993437
047b864f-0753-448b-9483-f990ae41abaf/0054/z,93.16742
047b864f-0753-448b-9483-f990ae41abaf/0055/x,-6.892782
047b864f-0753-448b-9483-f990ae41abaf/0055/y,-0.01812653
047b864f-0753-448b-9483-f990ae41abaf/0055/z,8.860759
047b864f-0753-448b-9483-f990ae41abaf/0056/x,-3.8516948
047b864f-0753-448b-9483-f990ae41abaf/0056/y,-1.8028431
047b864f-0753-448b-9483-f990ae41abaf/0056/z,27.18122
047b864f-0753-448b-9483-f990ae41abaf/0057/x,37.890076
047b864f-0753-448b-9483-f990ae41abaf/0057/y,-1.5538297
047b864f-0753-448b-9483-f990ae41abaf/0057/z,58.688244
047b864f-0753-448b-9483-f990ae41abaf/0058/x,7.0290675
047b864f-0753-448b-9483-f990ae41abaf/0058/y,-2.4020426
047b864f-0753-448b-9483-f990ae41abaf/0058/z,36.00786
047b864f-0753-448b-9483-f990ae41abaf/0059/x,-4.4464808
047b864f-0753-448b-9483-f990ae41abaf/0059/y,-0.22086658
047b864f-0753-448b-9483-f990ae41abaf/0059/z,7.0153117
047b864f-0753-448b-9483-f990ae41abaf/0060/x,-32.695614
047b864f-0753-448b-9483-f990ae41abaf/0060/y,-7.7692046
047b864f-0753-448b-9483-f990ae41abaf/0060/z,71.45091
047b864f-0753-448b-9483-f990ae41abaf/0061/x,-13.3796
047b864f-0753-448b-9483-f990ae41abaf/0061/y,-4.1032567
047b864f-0753-448b-9483-f990ae41abaf/0061/z,42.106335
047b864f-0753-448b-9483-f990ae41abaf/0062/x,-6.144438
047b864f-0753-448b-9483-f990ae41abaf/0062/y,-0.13806581
047b864f-0753-448b-9483-f990ae41abaf/0062/z,7.4094334
047b864f-0753-448b-9483-f990ae41abaf/0063/x,-6.2027936
047b864f-0753-448b-9483-f990ae41abaf/0063/y,-1.5455277
047b864f-0753-448b-9483-f990ae41abaf/0063/z,30.13501
047b864f-0753-448b-9483-f990ae41abaf/0064/x,9.284316
047b864f-0753-448b-9483-f990ae41abaf/0064/y,-5.8631434
047b864f-0753-448b-9483-f990ae41abaf/0064/z,56.138847
047b864f-0753-448b-9483-f990ae41abaf/0065/x,45.657433
047b864f-0753-448b-9483-f990ae41abaf/0065/y,-9.45141
047b864f-0753-448b-9483-f990ae41abaf/0065/z,68.88518
047b864f-0753-448b-9483-f990ae41abaf/0066/x,16.76217
047b864f-0753-448b-9483-f990ae41abaf/0066/y,-5.6032405
047b864f-0753-448b-9483-f990ae41abaf/0066/z,52.986973
047b864f-0753-448b-9483-f990ae41abaf/0067/x,0.49705726
047b864f-0753-448b-9483-f990ae41abaf/0067/y,-1.9095027
047b864f-0753-448b-9483-f990ae41abaf/0067/z,25.883715
047b864f-0753-448b-9483-f990ae41abaf/0068/x,6.3432918
047b864f-0753-448b-9483-f990ae41abaf/0068/y,-1.9501728
047b864f-0753-448b-9483-f990ae41abaf/0068/z,29.896925
047b864f-0753-448b-9483-f990ae41abaf/0069/x,5.955888
047b864f-0753-448b-9483-f990ae41abaf/0069/y,-0.5688535
047b864f-0753-448b-9483-f990ae41abaf/0069/z,14.240399
047b864f-0753-448b-9483-f990ae41abaf/0070/x,-1.8357756
047b864f-0753-448b-9483-f990ae41abaf/0070/y,-11.839221
047b864f-0753-448b-9483-f990ae41abaf/0070/z,74.9952
047b864f-0753-448b-9483-f990ae41abaf/0071/x,-4.9402175
047b864f-0753-448b-9483-f990ae41abaf/0071/y,-6.109889
047b864f-0753-448b-9483-f990ae41abaf/0071/z,46.56189
047b864f-0753-448b-9483-f990ae41abaf/0072/x,-14.196939
047b864f-0753-448b-9483-f990ae41abaf/0072/y,-3.0466208
047b864f-0753-448b-9483-f990ae41abaf/0072/z,33.16946
047b864f-0753-448b-9483-f990ae41abaf/0073/x,-8.827226
047b864f-0753-448b-9483-f990ae41abaf/0073/y,-0.76324123
047b864f-0753-448b-9483-f990ae41abaf/0073/z,16.021416
047b864f-0753-448b-9483-f990ae41abaf/0074/x,0.45602134
047b864f-0753-448b-9483-f990ae41abaf/0074/y,-1.6530569
047b864f-0753-448b-9483-f990ae41abaf/0074/z,30.258743
047b864f-0753-448b-9483-f990ae41abaf/0075/x,-15.925866
047b864f-0753-448b-9483-f990ae41abaf/0075/y,-4.8833733
047b864f-0753-448b-9483-f990ae41abaf/0075/z,83.79051
047b864f-0753-448b-9483-f990ae41abaf/0076/x,-7.041745
047b864f-0753-448b-9483-f990ae41abaf/0076/y,-2.9811013
047b864f-0753-448b-9483-f990ae41abaf/0076/z,45.213154
047b864f-0753-448b-9483-f990ae41abaf/0077/x,-4.409441
047b864f-0753-448b-9483-f990ae41abaf/0077/y,-0.06545452
047b864f-0753-448b-9483-f990ae41abaf/0077/z,5.735348
047b864f-0753-448b-9483-f990ae41abaf/0078/x,-7.768646
047b864f-0753-448b-9483-f990ae41abaf/0078/y,-2.7766159
047b864f-0753-448b-9483-f990ae41abaf/0078/z,48.980225
047b864f-0753-448b-9483-f990ae41abaf/0079/x,-3.5674784
047b864f-0753-448b-9483-f990ae41abaf/0079/y,-0.8356217
047b864f-0753-448b-9483-f990ae41abaf/0079/z,18.616953
047b864f-0753-448b-9483-f990ae41abaf/0080/x,14.260237
047b864f-0753-448b-9483-f990ae41abaf/0080/y,-7.1920686
047b864f-0753-448b-9483-f990ae41abaf/0080/z,95.83252
047b864f-0753-448b-9483-f990ae41abaf/0081/x,6.5417795
047b864f-0753-448b-9483-f990ae41abaf/0081/y,-5.71674
047b864f-0753-448b-9483-f990ae41abaf/0081/z,71.22121
047b864f-0753-448b-9483-f990ae41abaf/0082/x,2.5252616
047b864f-0753-448b-9483-f990ae41abaf/0082/y,-7.2758675
047b864f-0753-448b-9483-f990ae41abaf/0082/z,76.26917
047b864f-0753-448b-9483-f990ae41abaf/0083/x,-2.9668264
047b864f-0753-448b-9483-f990ae41abaf/0083/y,-3.0769098
047b864f-0753-448b-9483-f990ae41abaf/0083/z,38.351757
047b864f-0753-448b-9483-f990ae41abaf/0084/x,-6.9104085
047b864f-0753-448b-9483-f990ae41abaf/0084/y,-7.388213
047b864f-0753-448b-9483-f990ae41abaf/0084/z,83.45718
047b864f-0753-448b-9483-f990ae41abaf/0085/x,-3.6140585
047b864f-0753-448b-9483-f990ae41abaf/0085/y,-4.4985895
047b864f-0753-448b-9483-f990ae41abaf/0085/z,53.714706
047b864f-0753-448b-9483-f990ae41abaf/0086/x,-28.282488
047b864f-0753-448b-9483-f990ae41abaf/0086/y,-8.238743
047b864f-0753-448b-9483-f990ae41abaf/0086/z,91.45525
047b864f-0753-448b-9483-f990ae41abaf/0087/x,-4.8755774
047b864f-0753-448b-9483-f990ae41abaf/0087/y,-0.8890065
047b864f-0753-448b-9483-f990ae41abaf/0087/z,11.067417
047b864f-0753-448b-9483-f990ae41abaf/0088/x,-8.479143
047b864f-0753-448b-9483-f990ae41abaf/0088/y,-2.4437673
047b864f-0753-448b-9483-f990ae41abaf/0088/z,28.615618
047b864f-0753-448b-9483-f990ae41abaf/0089/x,-9.231748
047b864f-0753-448b-9483-f990ae41abaf/0089/y,-3.865205
047b864f-0753-448b-9483-f990ae41abaf/0089/z,67.556305
047b864f-0753-448b-9483-f990ae41abaf/0090/x,-5.2287064
047b864f-0753-448b-9483-f990ae41abaf/0090/y,-2.0010903
047b864f-0753-448b-9483-f990ae41abaf/0090/z,36.528793
047b864f-0753-448b-9483-f990ae41abaf/0091/x,-4.0638337
047b864f-0753-448b-9483-f990ae41abaf/0091/y,0.07475543
047b864f-0753-448b-9483-f990ae41abaf/0091/z,4.2157736
047b864f-0753-448b-9483-f990ae41abaf/0092/x,16.782042
047b864f-0753-448b-9483-f990ae41abaf/0092/y,-4.5301523
047b864f-0753-448b-9483-f990ae41abaf/0092/z,79.27826
047b864f-0753-448b-9483-f990ae41abaf/0093/x,7.3153877
047b864f-0753-448b-9483-f990ae41abaf/0093/y,-3.7503548
047b864f-0753-448b-9483-f990ae41abaf/0093/z,53.828125
047b864f-0753-448b-9483-f990ae41abaf/0094/x,-1.2483644
047b864f-0753-448b-9483-f990ae41abaf/0094/y,-2.1709201
047b864f-0753-448b-9483-f990ae41abaf/0094/z,26.175745
047b864f-0753-448b-9483-f990ae41abaf/0095/x,15.987062
047b864f-0753-448b-9483-f990ae41abaf/0095/y,-9.087228
047b864f-0753-448b-9483-f990ae41abaf/0095/z,73.97288
047b864f-0753-448b-9483-f990ae41abaf/0096/x,-5.4246645
047b864f-0753-448b-9483-f990ae41abaf/0096/y,-2.9408066
047b864f-0753-448b-9483-f990ae41abaf/0096/z,32.8819
047b864f-0753-448b-9483-f990ae41abaf/0097/x,-10.793517
047b864f-0753-448b-9483-f990ae41abaf/0097/y,-8.094587
047b864f-0753-448b-9483-f990ae41abaf/0097/z,89.06429
047b864f-0753-448b-9483-f990ae41abaf/0098/x,-7.1114316
047b864f-0753-448b-9483-f990ae41abaf/0098/y,-5.189948
047b864f-0753-448b-9483-f990ae41abaf/0098/z,60.748455
047b864f-0753-448b-9483-f990ae41abaf/0099/x,-4.692823
047b864f-0753-448b-9483-f990ae41abaf/0099/y,-2.6518009
047b864f-0753-448b-9483-f990ae41abaf/0099/z,32.233295
047b864f-0753-448b-9483-f990ae41abaf/0100/x,-24.186169
047b864f-0753-448b-9483-f990ae41abaf/0100/y,-8.955619
047b864f-0753-448b-9483-f990ae41abaf/0100/z,78.634346
047b864f-0753-448b-9483-f990ae41abaf/0101/x,-13.7774105
047b864f-0753-448b-9483-f990ae41abaf/0101/y,-5.3043895
047b864f-0753-448b-9483-f990ae41abaf/0101/z,53.04552
047b864f-0753-448b-9483-f990ae41abaf/0102/x,-6.9009986
047b864f-0753-448b-9483-f990ae41abaf/0102/y,-2.0496569
047b864f-0753-448b-9483-f990ae41abaf/0102/z,23.98525
047b864f-0753-448b-9483-f990ae41abaf/0103/x,-21.47296
047b864f-0753-448b-9483-f990ae41abaf/0103/y,-2.1151
047b864f-0753-448b-9483-f990ae41abaf/0103/z,44.563244
047b864f-0753-448b-9483-f990ae41abaf/0104/x,-6.985057
047b864f-0753-448b-9483-f990ae41abaf/0104/y,-6.1391535
047b864f-0753-448b-9483-f990ae41abaf/0104/z,83.37712
047b864f-0753-448b-9483-f990ae41abaf/0105/x,-4.38518
047b864f-0753-448b-9483-f990ae41abaf/0105/y,-3.4720438
047b864f-0753-448b-9483-f990ae41abaf/0105/z,46.353844
047b864f-0753-448b-9483-f990ae41abaf/0106/x,-4.3962874
047b864f-0753-448b-9483-f990ae41abaf/0106/y,-0.52697545
047b864f-0753-448b-9483-f990ae41abaf/0106/z,11.138946
047b864f-0753-448b-9483-f990ae41abaf/0107/x,-17.73294
047b864f-0753-448b-9483-f990ae41abaf/0107/y,-2.888538
047b864f-0753-448b-9483-f990ae41abaf/0107/z,27.076344
047b864f-0753-448b-9483-f990ae41abaf/0108/x,-1.7289857
047b864f-0753-448b-9483-f990ae41abaf/0108/y,-1.2070864
047b864f-0753-448b-9483-f990ae41abaf/0108/z,17.161688
047b864f-0753-448b-9483-f990ae41abaf/0109/x,-3.2852168
047b864f-0753-448b-9483-f990ae41abaf/0109/y,-1.1978205
047b864f-0753-448b-9483-f990ae41abaf/0109/z,11.41903
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0000/x,1.1394553
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0000/y,-5.205212
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0000/z,75.92195
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0001/x,0.4395899
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0001/y,-5.844124
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0001/z,74.43789
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0002/x,-4.378454
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0002/y,-2.269326
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0002/z,36.834614
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0003/x,1.1728902
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0003/y,-1.6175092
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0003/z,32.56594
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0004/x,8.310297
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0004/y,-1.2623922
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0004/z,27.384672
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0005/x,-1.2852383
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0005/y,-2.5107813
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0005/z,50.390053
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0006/x,-0.5204797
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0006/y,-2.4085534
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0006/z,51.866997
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0007/x,-0.08163524
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0007/y,-3.2640383
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0007/z,53.5578
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0008/x,0.22091907
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0008/y,-2.437428
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0008/z,55.499428
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0009/x,0.23464125
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0009/y,-4.0531344
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0009/z,59.8422
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0010/x,0.7665131
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0010/y,-4.2814183
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0010/z,50.414227
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0011/x,0.7255668
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0011/y,-4.327165
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0011/z,45.6561
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0012/x,0.7134925
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0012/y,-3.2193098
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0012/z,43.238014
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0013/x,0.6860385
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0013/y,-3.0497737
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0013/z,40.660175
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0014/x,0.69496095
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0014/y,-2.717038
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0014/z,36.356224
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0015/x,0.64676344
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0015/y,-2.3634744
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0015/z,33.36746
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0016/x,0.65046704
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0016/y,-2.109423
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0016/z,30.260265
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0017/x,0.6441629
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0017/y,-1.8333865
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0017/z,27.102478
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0018/x,0.59202987
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0018/y,-1.7952968
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0018/z,23.671371
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0019/x,0.7616007
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0019/y,-0.02943979
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0019/z,6.3171406
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0020/x,-6.248224
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0020/y,-2.843797
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0020/z,36.538517
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0021/x,-3.6524796
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0021/y,-2.768007
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0021/z,35.577003
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0022/x,0.6747901
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0022/y,-0.25884196
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0022/z,6.12647
